1.0&1.0
-0.21682447009609834&-0.21682447009609834
-0.8391474505475933&-0.8391474505475933
0.5219384364671009&0.5219384364671009
0.108135649398442&0.108135649398442
-0.22518059818402483&-0.22518059818402483
0.07952861573929745&0.07952861573929745
0.011812240103719906&0.011812240103719906
-0.02020266221664531&-0.02020266221664531
0.007269665239121222&0.007269665239121222
